1	Standard for Flexible Metal Conduit
58.9	Secondary Containment Liners for Underground and Aboveground Flammable and Combustible Liquid Tanks
58.15	Overfill Protection Devices for Flammable Liquid Storage Tanks
62	Flexible Cords and Cables
63	Outline of Investigation for Fire Door Frames
66	Fixture Wire
67	Standard for Panelboards
69	Standard for Electric-Fence Controllers
70	Standard for Septic Tanks, Bituminous Coated Metal
72	Standard for Tests for Fire Resistance of Record Protection Equipment
72	Tests for Fire Resistance of Record Protection Equipment
73	Standard for Motor-Operated Appliances
75	Outline of Investigation for Portable Containers and Tanks for Flammable and/or Combustible Liquids
79	Standard for Power-Operated Pumps for Petroleum Dispensing Products
79.1	Manual Pumps For Use With Liquid Petroleum Fuels
79A	Power-Operated Pumps for Gasoline and Gasoline/Ethanol Blends with Nominal Ethanol Concentrations up to 85 Percent (E0 - E85)
79B	Power-Operated Pumps for Diesel Fuel, Biodiesel Fuel, Diesel/Biodiesel Blends with Nominal Biodiesel Concentrations up to 20 Percent (B20), Kerosene, and Fuel Oil
80	Standard for Steel Tanks for Oil-Burner Fuels and Other Combustible Liquids
82	Standard for Electric Gardening Appliances
83	Thermoplastic-Insulated Wires and Cables
83A	Fluoropolymer Insulated Wire
83B	Switchboard and Switchgear Wires and Cables
87	Standard for Power-Operated Dispensing Devices for Petroleum Products
87A	Standard for Power-Operated Dispensing Devices for Gasoline and Gasoline/Ethanol Blends with Nominal Ethanol Concentrations up to 85 Percent (E0 - E85)
87B	Power-Operated Dispensing Devices for Diesel Fuel, Biodiesel Fuel, Diesel/Biodiesel Blends with Nominal Biodiesel Concentrations up to 20 Percent (B20), Kerosene, and Fuel Oil
87C	Outline of Investigation for Power-Operated Dispensing Devices for Diesel Exhaust Fluid
92	Standard for Fire Extinguisher, Booster, and Noncollapsible Standpipe Hose and Hose Assemblies
94	Standard for Tests for Flammability of Plastic Materials for Parts in Devices and Appliances
96	ANSI/CAN/UL Standard for Lightning Protection Components / Standard for Composants de protection contre la foudre
96A	Standard for Installation Requirements for Lightning Protection Systems
98	Enclosed and Dead-Front Switches
98A	Outline of Investigation for Open Type Switches
98B	Outline of Investigation for Enclosed and Dead-front Switches for use in Photovoltaic Systems
98C	Outline of Investigation for Enclosed and Dead-Front Switches, 650 - 1000 Volts
100	Sustainability for Gypsum Boards and Panels
101	Standard for Leakage Current for Utilization Equipment
101	STANDARD METHODS OF FIRE ENDURANCE TESTS OF BUILDING CONSTRUCTION AND MATERIALS / Méthodes d'essai normalisées de résistance au feu pour les bâtiments et les matériaux de construction
101	STANDARD METHODS OF FIRE ENDURANCE TESTS OF BUILDING CONSTRUCTION AND MATERIALS / MÉTHODE NORMALISÉE DES ESSAIS DE COMPORTEMENT AU FEU DES MURS EXTÉRIEURS
102	Method of Test for Surface Burning Characteristics of Building Materials and Assemblies
102	Method of Test for Surface Burning Characteristics of Building Materials and Assemblies
102	STANDARD METHOD OF TEST FOR SURFACE BURNING CHARACTERISTICS OF BUILDING MATERIALS AND ASSEMBLIES / MÉTHODE D'ESSAI NORMALISÉE CARACTÉRISTIQUES DE COMBUSTION SUPERFICIELLE DES MATÉRIAUX DE CONSTRUCTION ET ASSEMBLAGES
102	Sustainability for Door Leafs
102.2	Method of Test for Surface Burning Characteristics of Flooring, Floor Coverings, and Miscellaneous Materials and Assemblies
Méthode d'essai normalisée caractéristiques de combustion superficielle des revêtements de sol et des divers matériaux et assemblages
102.2	STANDARD METHOD OF TEST FOR SURFACE BURNING CHARACTERISTICS OF FLOORING, FLOOR COVERINGS, AND MISCELLANEOUS MATERIALS AND ASSEMBLIES
102.2	STANDARD METHOD OF TEST FOR SURFACE BURNING CHARACTERISTICS OF FLOORING, FLOOR COVERINGS, AND MISCELLANEOUS MATERIALS AND ASSEMBLIES / MÉTHODE D'ESSAI NORMALISÉE CARACTÉRISTIQUES DE COMBUSTION SUPERFICIELLE DES REVÊTEMENTS DE SOL ET DES DIVERS MATÉRIAUX ET ASSEMBLAGES
102.3	Standard Method of Fire Test of Light Diffusers and Lenses
102.3	STANDARD METHOD OF FIRE TEST OF LIGHT DIFFUSERS AND LENSES / MÉTHODE D'ESSAI NORMALISÉE DE RÉSISTANCE AU FEU POUR LES DIFFUSEURS ET VERRES D'APPAREILS D'ÉCLAIRAGE
102.4	STANDARD METHOD OF TEST FOR FIRE AND SMOKE CHARACTERISTICS OF ELECTRICAL WIRING, CABLES AND  NON-METALLIC RACEWAYS / MÉTHODE D'ESSAI NORMALISÉE CARACTÉRISTIQUES DE RÉSISTANCE AU FEU ET À LA FUMÉE DES FILS ET CÂBLES ÉLECTRIQUES ET DES CANALISATIONS NON MÉTALLIQUES
102.4	STANDARD METHOD OF TEST FOR FIRE AND SMOKE CHARACTERISTICS OF ELECTRICAL WIRING, CABLES AND  NON-METALLIC RACEWAYS / MÉTHODE D'ESSAI NORMALISÉE CARACTÉRISTIQUES DE RÉSISTANCE AU FEU ET À LA FUMÉE DES FILS ET CÂBLES ÉLECTRIQUES ET DES CANALISATIONS NON MÉTALLIQUES
103	Standard for Factory-Built Chimneys for Residential Type and Building Heating Appliances
103	STANDARD SPECIFICATION FOR  / SPÉCIFICATION NORMALISÉE POUR PORTES COUPE-FEU À REVÊTEMENT MÉTALLIQUE SATISFAISANT AUX EXIGENCES DE LA NORME CAN/ULC-S104
103A	Masonry Fireplace Adapters for Residential Type and Building Heating Appliance Chimneys
104	Standard for Elevator Door Locking Devices and Contacts
104	STANDARD METHOD FOR FIRE TESTS OF DOOR ASSEMBLIES / MÉTHODE NORMALISÉE DES ESSAIS DE RÉSISTANCE AU FEU DES PORTES
105	STANDARD SPECIFICATION FOR FIRE DOOR FRAMES MEETING THE PERFORMANCE REQUIRED BY CAN/ULC-S104 / NORME SUR LES CADRES DE PORTE COUPE-FEU SATISFAISANT AUX EXIGENCES DE RENDEMENT DE LA NORME CAN/ULC-S104
106	Sustainability for Lighting
106	STANDARD METHOD FOR FIRE TESTS OF WINDOW AND GLASS BLOCK ASSEMBLIES / MÉTHODE NORMALISÉE DES ESSAIS DE COMPORTEMENT AU FEU DES FENÊTRES ET DES BRIQUES DE VERRE
107	Guide for the Investigation of Asbestos-Cement Pipe and Couplings / Méthodes normalisées d'essai de résistance au feu des matériaux de couverture
107	Methods of Fire Tests of Roof Coverings
107	STANDARD METHODS OF FIRE TESTS OF ROOF COVERINGS / MÉTHODES NORMALISÉES D'ESSAI DE RÉSISTANCE AU FEU DES MATÉRIAUX DE COUVERTURE
108	Environmental Claim Validation Procedure (ECVP) for Estimating Energy Savings for Energy Saving Power Strips
109	Standard for Tube Fittings for Flammable and Combustible Fluids, Refrigeration Service, and Marine Use
109	Flame Tests of Flame Resistant Fabrics and Films / Norme relative aux essais de comportement au feu des tissus et pellicules ininflammables
109	STANDARD METHOD FOR FLAME TESTS OF FLAME-RESISTANT FABRICS AND FILMS / MÉTHODE NORMALISÉE DES ESSAIS DE COMPORTEMENT AU FEU DES TISSUS ET PELLICULES ININFLAMMABLES
110	STANDARD METHODS OF TEST FOR AIR DUCTS / MÉTHODES NORMALISÉES D'ESSAI DES CONDUITS D'AIR
110	Standard for Sustainability for Mobile Phones
111	Outline of Investigation for Multioutlet Assemblies
111	STANDARD METHOD OF FIRE TESTS FOR AIR FILTER UNITS
111	STANDARD METHOD OF FIRE TESTS FOR AIR FILTER UNITS / MÉTHODE D'ESSAI NORMALISÉE DE RÉSISTANCE AU FEU DES FILTRES
112	Standard Methods of  Fire Test of Fire-Damper Assemblies
Méthode normalisée d'essai de comportement au feu des registres coupe-feu
112.1	Standard for Leakage Rated Dampers for Use in Smoke Control Systems
112.2	Standard Method of Fire Test of Ceiling Firestop Flap Assemblies
113	Procedure for the Preparation of a Toxicological Assessment
113	Standard Specification for Wood Core Doors Meeting the Performance Required by CAN4-S104-77 for Twenty Minute Fire Rated Closure Assemblies

113	STANDARD SPECIFICATION FOR WOOD CORE DOORS MEETING THE PERFORMANCE REQUIRED BY CAN/ULC-S104 FOR TWENTY MINUTE FIRE RATED CLOSURE ASSEMBLIES / SPÉCIFICATION DE NORME : PORTES À ÂME DE BOIS SATISFAISANT AUX EXIGENCES DE RENDEMENT DE CAN / ULC-S104 POUR LES DISPOSITIFS DE FERMETURE AYANT UN DEGRÉ DE RÉSISTANCE AU FEU DE VINGT MINUTES
114	Standard Method of Test for Determination of Non-Combustibility in Building Materials / Méthode d’essai normalisée pour la détermination de l’incombustibilité des matériaux de construction
114	STANDARD METHOD OF TEST  FOR DETERMINATION OF  NON-COMBUSTIBILITY IN BUILDING MATERIALS / MÉTHODE D'ESSAI NORMALISÉE POUR LA DÉTERMINATION DE L'INCOMBUSTIBILITÉ DES MATÉRIAUX DE CONSTRUCTION
115	STANDARD METHOD OF FIRE TESTS OF FIRESTOP SYSTEMS
115	STANDARD METHOD OF FIRE TESTS OF FIRESTOP SYSTEMS / MÉTHODE NORMALISÉE D’ESSAIS DE RÉSISTANCE AU FEU DES DISPOSITIFS COUPE-FEU
115	Sustainability for Thermal Insulation
118	Indoor Air Quality
119	Outline of Investigation for Adapters, Fittings and Couplings for Anhydrous Ammonia and Fuel Gases
122	Standard for Photographic Equipment
123	Standard for Oxy-Fuel Gas Torches
124	Outline of Investigation for Hand-Operated Pumps for Flammable and Combustible Liquids 
124	Standard Method of Test for the Evaluation of Protective Coverings for Foamed Plastic / Méthode d’essai normalisée évaluation des revêtements protecteurs des mousses plastiques
124	STANDARD METHOD OF TEST FOR THE EVALUATION OF THERMAL BARRIERS FOR FOAMED PLASTIC / MÉTHODE D'ESSAI NORMALISÉE  POUR L'ÉVALUATION DES BARRIÈRES THERMIQUES DE LA MOUSSE PLASTIQUE
125	Standard for Flow Control Valves for Anhydrous Ammonia and LP-Gas
125	ANSI/CAN/UL/ULC Standard for Flow Control Valves for Anhydrous Ammonia and LP-Gas / Soupapes de régulation de débit pour l'ammoniac anhydre et le gaz de pétrole liquéfié
125	Valves for Anhydrous Ammonia and Propane (Other than Safety Relief)
125	Flow Control Valves for Anhydrous Ammonia and LP-Gas / Soupapes de régulation de débit pour l'ammoniac anhydre et le gaz de pétrole liquéfié
126	STANDARD METHOD OF TEST FOR FIRE SPREAD  UNDER ROOF-DECK ASSEMBLIES / MÉTHODE NORMALISÉE D'ESSAI DE PROPAGATION DES FLAMMES SOUS LES PLATELAGES DE TOITS
126	Standard for Sustainability for Plastic Film Products
127	Standard for Factory-Built Fireplaces
127	Standard Corner Wall Method of Test for Flammability Characteristics of Non-Melting Building Materials
127	STANDARD CORNER WALL METHOD OF TEST FOR FLAMMABILITY  CHARACTERISTICS OF NON-MELTING FOAM PLASTIC BUILDING MATERIALS / MÉTHODE D'ESSAI NORMALISÉE D'ALLUMAGE EN COIN VISANT À DÉTERMINER LES CARACTÉRISTIQUES D'INFLAMMABILITÉ DES MATÉRIAUX DE CONSTRUCTION EN MOUSSE PLASTIQUE À L'ÉPREUVE DE LA FUSION
127.1	Composite Fire-Log Starters
129	STANDARD METHOD OF TEST FOR SMOULDER RESISTANCE OF INSULATION (BASKET METHOD) / MÉTHODE NORMALISÉE D'ESSAI DE RÉSISTANCE À LA COMBUSTION LENTE DES ISOLANTS (MÉTHODE DU PANIER)
130	Standard for Electric Heating Pads
130	Standard Method of Test for Ignition Resistance of Loose Fill Insulation (Cigarette Method)
Méthode normalisée d’essai de résistance à l’allumage de l’isolant thermique cellulosique à bourrage lâche (méthode de la cigarette)
130	STANDARD METHOD OF TEST FOR IGNITION RESISTANCE OF LOOSE FILL INSULATION (CIGARETTE METHOD) / MÉTHODE NORMALISÉE D'ESSAI DE RÉSISTANCE À L'ALLUMAGE DE L'ISOLANT THERMIQUE CELLULOSIQUE À BOURRAGE LÂCHE (MÉTHODE DE LA CIGARETTE)
132	Standard for Safety Relief Valves for Anhydrous Ammonia and LP-Gas
132	Standard For Emergency Exit And Emergency Fire Exit Hardware
132	STANDARD METHOD OF TESTS FOR EMERGENCY EXIT AND EMERGENCY FIRE EXIT HARDWARE / MÉTHODE D'ESSAI NORMALISÉE DES SERRURES ANTIPANIQUES DES ISSUES DE SECOURS ET DES PORTES COUPE-FEU
133	STANDARD METHOD OF TESTS FOR DOOR CLOSERS  INTENDED FOR USE WITH SWINGING DOORS / MÉTHODE D'ESSAI NORMALISÉE SUR LES FERME-PORTES CONÇUS POUR ÊTRE UTILISÉS AVEC DES PORTES BATTANTES
134	STANDARD METHOD OF FIRE TEST OF EXTERIOR WALL ASSEMBLIES
134	STANDARD METHOD OF FIRE TEST OF EXTERIOR WALL ASSEMBLIES / MÉTHODE NORMALISÉE DES ESSAIS DE COMPORTEMENT AU FEU DES MURS EXTÉRIEURS
135	Standard Test Method for the Determination of Combustibility Parameters of Building Materials Using an Oxygen Consumption Calorimeter (Cone Calorimeter)

135	Standard Test Method for the Determination of Combustibility Parameters of Building Materials Using an Oxygen Consumption Calorimeter (Cone Calorimeter)
136	Standard for Pressure Cookers
136	Standard Method of Fire Test of Sprinkler Protected Window Systems
137	STANDARD METHOD OF TEST FOR FIRE GROWTH OF MATTRESSES (OPEN FLAME TEST) / MÉTHODE D’ESSAI NORMALISÉE POUR LA PROPAGATION DU FEU SUR LES MATELAS (ESSAI À LA FLAMME NUE)
138	Standard Method of Test for Fire Growth of Insulated Building Panels in a Full-Scale Room Configuration / Méthode d'essai normalisée de la propagation du feu dans les panneaux de construction isolés d'une configuration de pièces à l'échelle réelle
138	Standard Method of Test for Fire Growth of Insulated Building Panels in a Full-Scale Room Configuration
139	Outline of Investigation for Medium- and High-Expansion Foam-Extinguishing System Equipment and Concentrates
139	STANDARD FOR FIRE TEST FOR CIRCUIT INTEGRITY OF FIRE-RESISTIVE POWER, INSTRUMENTATION, CONTROL, AND DATA CABLES / NORMES SUR D'ESSAI DE RÉSISTANCE AU FEU POUR L'ÉVALUATION DE L'INTÉGRITÉ DES CIRCUITS DES CÂBLES D'ALIMENTATION, DE L'INSTRUMENTATION, DES CONTRÔLES ET DE DONNÉES
139	Standard for Fire Test for Circuit Integrity of Fire-Resistive Power, Instrumentation, Control, and Data Cables / Normes sur d’essai de résistance au feu pour l’évaluation de l’intégrité des circuits des câbles d’alimentation, de l’instrumentation, des contrôles et données
140	Standard for Relocking Devices for Safes and Vaults
140	Guide for Investigation of Relocking Devices
141	Standard for Garment Finishing Appliances
142	Standard for Steel Aboveground Tanks for Flammable and Combustible Liquids
142	STANDARD METHOD OF FIRE TEST FOR HEAT AND VISIBLE SMOKE RELEASE FOR DISCRETE PRODUCTS / MÉTHODE D'ESSAI NORMALISÉE DE COMPORTEMENT AU FEU POUR LA PRODUCTION DE CHALEUR ET DE FUMÉE VISIBLE DES PRODUITS DISCRETS
142.20	Secondary Containments for Aboveground Flammable and  Combustible Liquid Storage Tanks
142.5	Concrete Encased Steel Aboveground Tank Assemblies for Flammable and Combustible Liquids
142.6	Storage Vaults
142.14	Nonmetallic Bulk Containers For New Lubricating Oil
142.17	Special Purpose Relocatable Aboveground Vertical Tanks for Flammable and Combustible Liquids
142.19	  Spill Containment Devices for Aboveground Flammable and  Combustible Liquid Storage Tanks
142.21	Aboveground Used-Oil Systems
142.22	Contained Vertical Steel Aboveground Tank Assemblies for Flammable and Combustible Liquids
142A	Special Purpose Aboveground Tanks for Specific Flammable or Combustible Liquids
143	Standard Method of Fire Tests for Non-Metallic Electrical and Optical Fibre Cable Raceway Systems
143	STANDARD METHOD OF FIRE TESTS FOR NON-METALLIC ELECTRICAL AND OPTICAL FIBRE CABLE RACEWAY SYSTEMS / MÉTHODE D'ESSAI NORMALISÉE DE COMPORTEMENT AU FEU DES SYSTÈMES DE CANALISATION NON MÉTALLIQUES POUR CÂBLES ÉLECTRIQUES ET À FIBRES OPTIQUES
144	Standard for LP-Gas Regulators
144	Standard Method of Fire Resistance Test – Grease Duct Assemblies
144	STANDARD METHOD OF FIRE RESISTANCE TEST - GREASE DUCT ASSEMBLIES / MÉTHODE D'ESSAI NORMALISÉE DE RÉSISTANCE AU FEU - CONDUITS DE GRAISSE
145	STANDARD METHOD OF TEST FOR THE EVALUATION OF PROTECTIVE COVERINGS FOR FOAMED PLASTIC INSULATION - FULL-SCALE ROOM TEST / MÉTHODE D’ESSAI NORMALISÉE POUR L’ÉVALUATION DES REVÊTEMENTS PROTECTEURS DES ISOLATIONS À LA MOUSSE PLASTIQUE - ESSAI DANS UNE PIÈCE EN VRAIE GRANDEUR
146	Standard Method of Test for the Evaluation of Encapsulation Materials and Assemblies of Materials for the Protection of Structural Timber Element / Méthode d'essai normalisée pour l'évaluation des matériaux d'encapsulation et les assemblages de matériaux aux fins de la protection des éléments de bois de charpente
147	Standard for Hand-Held Torches for Fuel Gases
147A	Standard for Nonrefillable (Disposable) Type Fuel Gas Cylinder Assemblies
147B	Standard for Nonrefillable (Disposable) Type Metal Container Assemblies for Butane
150	Standard for Antenna Rotators
153	Standard for Portable Electric Luminaires
154	Carbon-Dioxide Fire Extinguishers
155	Standard for Tests for Fire Resistance of Vault and File Room Doors
155	Preliminary Standards for Tests for Fire Resistance of Vault and File Room Doors
157	Standard for Gaskets and Seals
162	Standard for Foam Equipment and Liquid Concentrates
162A	Outline of Investigation for Fixed Water-Motor Coupled Pumps for Foam Concentrate Proportioning
172	Standard for Sustainability for Toys
174	Standard for Household Electric Storage Tank Water Heaters
175	Standard for Sustainability for Sanitary Paper Products
180	ANSI/CAN/UL/ULC Standard for Combustible Liquid Tank Accessories / ANSI/CAN/UL/ULC Norme sur les accessoires de réservoirs pour liquides combustibles
180	Liquid Level Gauges and Indicators for Fuel Oil and Lubricating Oil Tanks
180	ANSI/CAN/UL/ULC Standard for Combustible Liquid Tank Accessories / ANSI/CAN/UL/ULC Norme sur les accessoires de réservoirs pour liquides combustibles
181	Standard for Factory-Made Air Ducts and Air Connectors
181A	Standard for Closure Systems for Use With Rigid Air Ducts
181B	Standard for Closure Systems for Use With Flexible Air Ducts and Air Connectors
181C	Outline of Investigation for Non-Metal Joining Accessories for Flexible Air Ducts and Air Connectors
183	Standard for Manufactured Wiring Systems
193	Standard for Alarm Valves for Fire-Protection Service
193	Guide for the Investigation of Alarm Valves for Fire-Protection Service
194	Standard for Gasketed Joints for Ductile-Iron Pipe and Fittings for Fire Protection Service
194	Guide for the Investigation of Gasketed Joints for Cast-Iron Pressure Pipes and Fittings
197	Standard for Commercial Electric Cooking Appliances
198M	Standard for Mine-Duty Fuses
199	Standard for Automatic Sprinklers for Fire-Protection Service
199	Light Wall Steel Pipes for Sprinkler Systems for Fire Protection Services
199B	Outline for Control Cabinets for Automatic Sprinkler Systems Used for Protection of Commercial Cooking Equipment
199C	Outline of Investigation for Plastic Escutcheons for Sprinklers
199E	Outline of Investigation for Fire Testing of Sprinklers and Water Spray Nozzles for Protection of Deep Fat Fryers
199G	Outline of Investigation for Fire Testing of Specific Application Sprinklers for Use in Attic Spaces
201	Standard for Garage Equipment
203	Standard for Pipe Hanger Equipment for Fire Protection Service / Norme sur les équipements de fixation de conduites pour le service de protection contre les incendies
203	Pipe Hanger Equipment for Fire Protection Service
203A	Sway Brace Devices for Sprinkler System Piping
203A	Sway Brace Devices for Sprinkler System Piping
205	Subject 205 - Burglary Protection Systems and Services
205A	Subject for Burglary Protection Equipment
207	Standard for Refrigerant-Containing Components and Accessories, Nonelectrical
209	Standard for Cellular Metal Floor Raceways and Fittings
210	Guide for Listing and Labelling of Factory-Built Chimney Connectors
212	Outline of Investigation for Hand-Operated Chemical Pumps
212	Outline of Investigation for Hand-Operated Chemical Pumps
213	Rubber Gasketed Fittings for Fire-Protection Service / Raccords munis de joints en caoutchouc utilisés par le service de protection incendie
213	Welded Outlet Fittings
213B	Outline of Investigation for Welded Outlet Fittings for Fire Protection Systems
213C	Grooved and Plain End Fittings
217	Standard for Smoke Alarms
218	Fire Pump Controllers
218A	Standard for Battery Contactors for Use in Diesel Engines Driving Centrifugal Fire Pumps
219	Standard for Lined Fire Hose for Interior Standpipes
224	Extruded Insulating Tubing
224	Extruded Insulating Tubing
228	Standard for Door Closers-Holders, With or Without Integral Smoke Detectors
228	Door Closers and  Holders
231	Standard for Power Outlets
234	Standard for Low Voltage Lighting Fixtures for Use in Recreational Vehicles
242	Standard for Nonmetallic Containers for Waste Paper
244A	Standard for Solid-State Controls for Appliances
244B	Outline of Investigation for Cord-Connected Controls with Standard NEMA Plugs and Receptacles, Direct Plug-In Controls, and Controls Intended to be Mounted in Wiring Boxes
246	Standard for Hydrants for Fire-Protection Service
246A	Outline of Investigation for Non-Threaded Connections for Fire Hydrants and Fire Department Connections
246b	Outline of Investigation for Tamper Resistant Features of Hydrants for Fire-Protection Service
246C	Outline of Investigation for Wet Barrel Fire Hydrants for Oil Platforms
248-1	Low-Voltage Fuses - Part 1: General Requirements
248-2	Low-Voltage Fuses - Part 2: Class C Fuses
248-3	Low-Voltage Fuses - Part 3: Class CA and CB Fuses
248-4	Low-Voltage Fuses - Part 4: Class CC Fuses
248-5	Low-Voltage Fuses - Part 5: Class G Fuses
248-6	Low-Voltage Fuses - Part 6: Class H Non-Renewable Fuses
248-7	Low-Voltage Fuses - Part 7: Class H Renewable Fuses
248-8	Low-Voltage Fuses - Part 8: Class J Fuses
248-9	Low-Voltage Fuses - Part 9: Class K Fuses
248-10	Low-Voltage Fuses - Part 10: Class L Fuses
248-11	Low-Voltage Fuses - Part 11: Plug Fuses
248-12	Low-Voltage Fuses - Part 12: Class R Fuses
248-13	 Low-Voltage Fuses - Part 13: Semiconductor Fuses
248-14	Low-Voltage Fuses - Part 14: Supplemental Fuses
248-15	Low-Voltage Fuses - Part 15: Class T Fuses
248-16	Low-Voltage Fuses - Part 16: Test Limiters
248-17	Outline of Investigation for Low-Voltage Fuses - Part 17: Class CF Fuses
248-18	Outline of Investigation for Low Voltage Fuses - Class CD Fuses
248-19	Low-Voltage Fuses - Part 19: Photovoltaic Fuses
248-20	Outline of Investigation for Low-Voltage Fuses - Part 20: Electric Vehicle (EV) Fuses
252	Standard for Compressed Gas Regulators
252	Guide for the Investigation of Gas Pressure Regulators
252A	Standard for Compressed Gas Regulator Accessories
258	Outline of Investigation for Shutoff Valves for Trim and Drain Purposes
258	Shutoff Valves for Trim and Drain Purposes for Fire Protection Service
260	Standard for Dry Pipe and Deluge Valves for Fire-Protection Service
260	Guide for the Investigation of  Dry Pipe, Deluge and Pre-Action Valves for Fire Protection
260A	Outline of Investigation for Air Pressure Maintenance Devices
262	Standard for Gate Valves for Fire-Protection Service
262	Gate Valves for Fire Protection Service
263	Standard for Fire Tests of Building Construction and Materials
263	Criteria for Use in Extension of Data from Fire Endurance Tests
263.1	Sprinkler-Protected Windows Systems
263.5	Exterior Insulation and Finish Systems (EIFS)
264.7	Room Fire Test Method for Garage Doors Using Foamed Plastic Insulation
267	Outline of Investigation for Wire-Pulling Compounds
268	Standard for Smoke Detectors for Fire Alarm Signaling Systems
268	Smoke Detectors for Fire Alarm Systems
268.13	Smoke-Alarms for Mobile Homes and Recreational Vehicles
268A	Standard for Smoke Detectors for Duct Application
268B	Video Image Smoke Detectors
268C	Outline of Investigation for Multi-Detector Test Apparatus
2734	Outline for Connectors and Service Plugs for Use with On-Board Electrical Vehicle (EV) Charging Systems
2734	Connectors and Service Plugs for Use with On-Board Electrical Vehicle (EV) Charging Systems
275	Standard for Automotive Glass-Tube Fuses
275A	Outline of Investigation for Automotive Blade Type Fuses
283	Standard for Air Fresheners and Deodorizers
291	Standard for Automated Teller Systems
293	Outline of Investigation for Performance of Access Control System Units Intended for Use in the UK
294	Standard for Access Control System Units
294A	Subject 294A
294C	Subject 294C
295	Standard for Commercial-Industrial Gas Burners
296	Standard for Oil Burners
296A	Standard for Waste Oil-Burning Air-Heating Appliances
299	Dry Chemical Fire Extinguishers
299	Dry Chemical Fire Extinguishers
299A	Outline of Investigation for Portable Dry Chemical Extinguishing System Units
299B	Outline of Investigation for Dry Chemical Fire Extinguishers for U.S. Navy Applications
299C	Outline of Investigation for Fire Extinguishing Dry Chemical for Special Applications
299D	Outline of Investigation for Dry Chemical Fire Extinguishers for Residential Cooking Equipment
300	ANSI/CAN/UL/ULC Standard for Fire Testing of Fire Extinguishing Systems for Protection of Commercial Cooking Equipment / ANSI/CAN/UL/ULC Norme sur la mise à l'essai de systèmes d'extinction d'incendie conçus pour la protection d'équipement de cuisson commercial
300	Standard for Fire Testing of Fire Extinguishing Systems for Protection of Commercial Cooking Equipment / Norme sur la mise à l'essai de systèmes d'extinction d'incendie conçus pour la protection d'équipement de cuisson commercial
300A	Extinguishing System Units for Residential Range Top Cooking Surfaces
301	STANDARD FOR SIGNAL RECEIVING CENTRES CONFIGURATIONS AND OPERATIONS / NORME SUR LA CONFIGURATION ET L
302	STANDARD FOR THE INSTALLATION, INSPECTION AND TESTING OF INTRUSION ALARM SYSTEMS / NORME SUR L'INSTALLATION, L'INSPECTION ET LA MISE À L'ESSAI DES SYSTÈMES D'ALARME ANTI-INTRUSION
